❯ ============================================================                                                             
Starting training for 350 iterations                                                                                       
============================================================                                                               
  iter    1/350 | misfit 2.001733e-09 | MSE(Vp) 9052.64  MSE(Vs) 1624.83  MSE(rho) 1956.91 | 24.6s                         
  iter    2/350 | misfit 2.001733e-09 | MSE(Vp) 9057.92  MSE(Vs) 1633.29  MSE(rho) 1958.57 | 24.8s                         
  iter    3/350 | misfit 2.001733e-09 | MSE(Vp) 9055.23  MSE(Vs) 1626.44  MSE(rho) 1957.59 | 25.7s                         
  iter    4/350 | misfit 2.001733e-09 | MSE(Vp) 9049.66  MSE(Vs) 1609.79  MSE(rho) 1955.59 | 24.6s                         
  iter    5/350 | misfit 2.001733e-09 | MSE(Vp) 9042.77  MSE(Vs) 1584.80  MSE(rho) 1952.41 | 24.5s                         
  iter    6/350 | misfit 2.001734e-09 | MSE(Vp) 9037.97  MSE(Vs) 1565.67  MSE(rho) 1949.93 | 24.8s                         
  iter    7/350 | misfit 2.001734e-09 | MSE(Vp) 9038.15  MSE(Vs) 1565.70  MSE(rho) 1948.87 | 24.5s                         
  iter    8/350 | misfit 2.001734e-09 | MSE(Vp) 9035.81  MSE(Vs) 1563.82  MSE(rho) 1946.93 | 23.8s                         
  iter    9/350 | misfit 2.001734e-09 | MSE(Vp) 9031.11  MSE(Vs) 1560.93  MSE(rho) 1943.43 | 24.1s                         
  iter   10/350 | misfit 2.001734e-09 | MSE(Vp) 9024.41  MSE(Vs) 1556.49  MSE(rho) 1941.25 | 24.4s                         
  iter   11/350 | misfit 2.001735e-09 | MSE(Vp) 9023.83  MSE(Vs) 1548.40  MSE(rho) 1937.57 | 23.7s                         
  iter   12/350 | misfit 2.001735e-09 | MSE(Vp) 9021.04  MSE(Vs) 1541.02  MSE(rho) 1934.30 | 24.2s                         
  iter   13/350 | misfit 2.001734e-09 | MSE(Vp) 9018.51  MSE(Vs) 1538.03  MSE(rho) 1931.67 | 23.7s                         
  iter   14/350 | misfit 2.001733e-09 | MSE(Vp) 9013.92  MSE(Vs) 1542.21  MSE(rho) 1930.05 | 24.4s                         
  iter   15/350 | misfit 2.001734e-09 | MSE(Vp) 9008.27  MSE(Vs) 1540.17  MSE(rho) 1928.45 | 25.9s                         
  iter   16/350 | misfit 2.001734e-09 | MSE(Vp) 9003.16  MSE(Vs) 1533.95  MSE(rho) 1925.97 | 25.4s                         
  iter   17/350 | misfit 2.001735e-09 | MSE(Vp) 8997.37  MSE(Vs) 1536.87  MSE(rho) 1922.72 | 25.5s                         
  iter   18/350 | misfit 2.001733e-09 | MSE(Vp) 8989.25  MSE(Vs) 1537.54  MSE(rho) 1920.75 | 23.8s                         
  iter   19/350 | misfit 2.001733e-09 | MSE(Vp) 8983.14  MSE(Vs) 1530.31  MSE(rho) 1919.17 | 24.2s                         
  iter   20/350 | misfit 2.001734e-09 | MSE(Vp) 8976.94  MSE(Vs) 1531.74  MSE(rho) 1918.75 | 24.8s                         
  iter   21/350 | misfit 2.001734e-09 | MSE(Vp) 8979.82  MSE(Vs) 1530.31  MSE(rho) 1917.24 | 24.8s                         
  iter   22/350 | misfit 2.001735e-09 | MSE(Vp) 8975.56  MSE(Vs) 1530.44  MSE(rho) 1914.03 | 24.1s                         
  iter   23/350 | misfit 2.001736e-09 | MSE(Vp) 8969.85  MSE(Vs) 1537.33  MSE(rho) 1915.15 | 24.1s                         
  iter   24/350 | misfit 2.001738e-09 | MSE(Vp) 8949.78  MSE(Vs) 1528.07  MSE(rho) 1914.45 | 24.0s                         
  iter   25/350 | misfit 2.001740e-09 | MSE(Vp) 8931.08  MSE(Vs) 1534.26  MSE(rho) 1913.04 | 24.5s                         
  iter   26/350 | misfit 2.001740e-09 | MSE(Vp) 8918.20  MSE(Vs) 1528.58  MSE(rho) 1909.57 | 23.7s                         
  iter   27/350 | misfit 2.001742e-09 | MSE(Vp) 8914.56  MSE(Vs) 1523.06  MSE(rho) 1906.30 | 23.7s                         
  iter   28/350 | misfit 2.001742e-09 | MSE(Vp) 8887.78  MSE(Vs) 1526.30  MSE(rho) 1909.08 | 24.6s                         
